id;title;content;video_url;slide_url
1;Bài 1: はじめまして (Hajimemashite);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video1/view;https://drive.google.com/file/d/slide1/view
2;Bài 2: これは何ですか (Kore wa nan desu ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video2/view;https://drive.google.com/file/d/slide2/view
3;Bài 3: 今何時ですか (Ima nanji desu ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video3/view;https://drive.google.com/file/d/slide3/view
4;Bài 4: 図書館は何時から何時までですか (Toshokan wa nanji kara nanji made desu ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video4/view;https://drive.google.com/file/d/slide4/view
5;Bài 5: 大阪まで行きます (Osaka made ikimasu);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video5/view;https://drive.google.com/file/d/slide5/view
6;Bài 6: いっしょに行きませんか (Issho ni ikimasen ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video6/view;https://drive.google.com/file/d/slide6/view
7;Bài 7: 家族は何人ですか (Kazoku wa nannin desu ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video7/view;https://drive.google.com/file/d/slide7/view
8;Bài 8: そちらは雨ですか (Sochira wa ame desu ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video8/view;https://drive.google.com/file/d/slide8/view
9;Bài 9: 昨日映画を見ました (Kinou eiga wo mimashita);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video9/view;https://drive.google.com/file/d/slide9/view
10;Bài 10: コンサートはいかがでしたか (Konsaato wa ikaga deshita ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video10/view;https://drive.google.com/file/d/slide10/view
11;Bài 11: これをください (Kore wo kudasai);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video11/view;https://drive.google.com/file/d/slide11/view
12;Bài 12: お祭りはどうでしたか (Omatsuri wa dou deshita ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video12/view;https://drive.google.com/file/d/slide12/view
13;Bài 13: 別々にお願いします (Betsubetsu ni onegaishimasu);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video13/view;https://drive.google.com/file/d/slide13/view
14;Bài 14: つかれました (Tsukaremashita);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video14/view;https://drive.google.com/file/d/slide14/view
15;Bài 15: ご家族の写真ですか (Go-kazoku no shashin desu ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video15/view;https://drive.google.com/file/d/slide15/view
16;Bài 16: どうしましたか (Doushimashita ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video16/view;https://drive.google.com/file/d/slide16/view
17;Bài 17: どんなアパートがいいですか (Donna apaato ga ii desu ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video17/view;https://drive.google.com/file/d/slide17/view
18;Bài 18: もう慣れましたか (Mou naremashita ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video18/view;https://drive.google.com/file/d/slide18/view
19;Bài 19: ダイエットは明日からします (Daietto wa ashita kara shimasu);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video19/view;https://drive.google.com/file/d/slide19/view
20;Bài 20: 夏休みはどこか行きましたか (Natsuyasumi wa doko ka ikimashita ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video20/view;https://drive.google.com/file/d/slide20/view
21;Bài 21: どう思いますか (Dou omoimasu ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video21/view;https://drive.google.com/file/d/slide21/view
22;Bài 22: つめたいものはありませんか (Tsumetai mono wa arimasen ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video22/view;https://drive.google.com/file/d/slide22/view
23;Bài 23: 急いで食べないでください (Isoide tabenaide kudasai);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video23/view;https://drive.google.com/file/d/slide23/view
24;Bài 24: 手を貸しましょうか (Te wo kashimashou ka);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video24/view;https://drive.google.com/file/d/slide24/view
25;Bài 25: 日本語が分からなかったら (Nihongo ga wakaranakattara);../fake-data/blob/hipster.txt;https://drive.google.com/file/d/video25/view;https://drive.google.com/file/d/slide25/view
