id;start_time;end_time;score;completed
1;2025-07-19T05:27:06;2025-07-19T14:37:06;20564.09;true
2;2025-07-19T21:47:03;2025-07-19T18:14:12;28734.47;true
3;2025-07-19T08:42:27;2025-07-19T20:25:58;11643.31;false
4;2025-07-19T21:45:50;2025-07-20T00:31:37;20782.28;false
5;2025-07-19T22:15:28;2025-07-20T03:32:21;4236.29;true
6;2025-07-19T15:30:26;2025-07-19T04:09:09;20544.37;false
7;2025-07-19T07:02:25;2025-07-19T21:06:34;12052.84;false
8;2025-07-19T10:32:11;2025-07-19T21:10:51;15222.75;true
9;2025-07-19T09:21:08;2025-07-19T16:37:20;9001.08;false
10;2025-07-19T06:35:03;2025-07-19T04:10:22;10684.01;true
